state,filing_status,tax_rate,income_ll,income_hl
Alabama,single,0.02,0,500
Alabama,single,0.04,500,3000
Alabama,single,0.05,3000,
Alabama,married filing jointly,0.02,0,1000
Alabama,married filing jointly,0.04,1000,6000
Alabama,married filing jointly,0.05,6000,
Alabama,married filing separately,0.02,0,500
Alabama,married filing separately,0.04,500,3000
Alabama,married filing separately,0.05,3000,
Alabama,head of household,0.02,0,500
Alabama,head of household,0.04,500,3000
Alabama,head of household,0.05,3000,
Alaska,single,0,0,0
Alaska,married filing jointly,0,0,0
Alaska,married filing separately,0,0,0
Alaska,head of household,0,0,0
Arizona,single,0.025,0,0
Arizona,married filing jointly,0.025,0,0
Arizona,married filing separately,0.025,0,0
Arizona,head of household,0.025,0,0
Arkansas,single,0,0,5299
Arkansas,single,0.02,5300,10599
Arkansas,single,0.03,10600,15099
Arkansas,single,0.034,15100,24999
Arkansas,single,0.044,25000,
Arkansas,married filing jointly,0,0,5299
Arkansas,married filing jointly,0.02,5300,10599
Arkansas,married filing jointly,0.03,10600,15099
Arkansas,married filing jointly,0.034,15100,24999
Arkansas,married filing jointly,0.044,25000,
Arkansas,married filing separately,0,0,5299
Arkansas,married filing separately,0.02,5300,10599
Arkansas,married filing separately,0.03,10600,15099
Arkansas,married filing separately,0.034,15100,24999
Arkansas,married filing separately,0.044,25000,
Arkansas,head of household,0,0,5299
Arkansas,head of household,0.02,5300,10599
Arkansas,head of household,0.03,10600,15099
Arkansas,head of household,0.034,15100,24999
Arkansas,head of household,0.044,25000,
California,single,0.01,0,10412
California,single,0.02,10412,24684
California,single,0.04,24684,38959
California,single,0.06,38959,54081
California,single,0.08,54081,68350
California,single,0.093,68350,349137
California,single,0.103,349137,418961
California,single,0.113,418961,698271
California,single,0.123,698271,
California,married filing jointly,0.01,0,20824
California,married filing jointly,0.02,20824,49368
California,married filing jointly,0.04,49368,77918
California,married filing jointly,0.06,77918,108162
California,married filing jointly,0.08,108162,136700
California,married filing jointly,0.093,136700,698274
California,married filing jointly,0.103,698274,837922
California,married filing jointly,0.113,837922,1396542
California,married filing jointly,0.123,1396542,
California,married filing separately,0.01,0,10412
California,married filing separately,0.02,10412,24684
California,married filing separately,0.04,24684,38959
California,married filing separately,0.06,38959,54081
California,married filing separately,0.08,54081,68350
California,married filing separately,0.093,68350,349137
California,married filing separately,0.103,349137,418961
California,married filing separately,0.113,418961,698271
California,married filing separately,0.123,698271,
California,head of household,0.01,0,20839
California,head of household,0.02,20839,49371
California,head of household,0.04,49371,63644
California,head of household,0.06,63644,78765
California,head of household,0.08,78765,93037
California,head of household,0.093,93037,474824
California,head of household,0.103,474824,569790
California,head of household,0.113,569790,949649
California,head of household,0.123,949649,
Colorado,single,0.044,0,0
Colorado,married filing jointly,0.044,0,0
Colorado,married filing separately,0.044,0,0
Colorado,head of household,0.044,0,0
Connecticut,single,0.02,0,10000
Connecticut,single,0.045,10000.01,50000
Connecticut,single,0.055,50000.01,100000
Connecticut,single,0.06,100000.01,200000
Connecticut,single,0.065,200000.01,250000
Connecticut,single,0.069,250000.01,500000
Connecticut,single,0.0699,500000.01,
Connecticut,married filing jointly,0.02,0,20000
Connecticut,married filing jointly,0.045,20000.01,100000
Connecticut,married filing jointly,0.055,100000.01,200000
Connecticut,married filing jointly,0.06,200000.01,400000
Connecticut,married filing jointly,0.065,400000.01,500000
Connecticut,married filing jointly,0.069,500000.01,1000000
Connecticut,married filing jointly,0.0699,1000000.01,
Connecticut,married filing separately,0.02,0,10000
Connecticut,married filing separately,0.045,10000.01,50000
Connecticut,married filing separately,0.055,50000.01,100000
Connecticut,married filing separately,0.06,100000.01,200000
Connecticut,married filing separately,0.065,200000.01,250000
Connecticut,married filing separately,0.069,250000.01,500000
Connecticut,married filing separately,0.0699,500000.01,
Connecticut,head of household,0.02,0,10000
Connecticut,head of household,0.045,10000.01,50000
Connecticut,head of household,0.055,50000.01,100000
Connecticut,head of household,0.06,100000.01,200000
Connecticut,head of household,0.065,200000.01,250000
Connecticut,head of household,0.069,250000.01,500000
Connecticut,head of household,0.0699,500000.01,
Delaware,single,0,0,2000
Delaware,single,0.022,2000.0001,5000
Delaware,single,0.039,5000.0001,10000
Delaware,single,0.048,10000.0001,20000
Delaware,single,0.052,20000.0001,25000
Delaware,single,0.0555,25000.0001,60000
Delaware,single,0.066,60000,
Delaware,married filing jointly,0,0,2000
Delaware,married filing jointly,0.022,2000.0001,5000
Delaware,married filing jointly,0.039,5000.0001,10000
Delaware,married filing jointly,0.048,10000.0001,20000
Delaware,married filing jointly,0.052,20000.0001,25000
Delaware,married filing jointly,0.0555,25000.0001,60000
Delaware,married filing jointly,0.066,60000,
Delaware,married filing separately,0,0,2000
Delaware,married filing separately,0.022,2000.0001,5000
Delaware,married filing separately,0.039,5000.0001,10000
Delaware,married filing separately,0.048,10000.0001,20000
Delaware,married filing separately,0.052,20000.0001,25000
Delaware,married filing separately,0.0555,25000.0001,60000
Delaware,married filing separately,0.066,60000,
Delaware,head of household,0,0,2000
Delaware,head of household,0.022,2000.0001,5000
Delaware,head of household,0.039,5000.0001,10000
Delaware,head of household,0.048,10000.0001,20000
Delaware,head of household,0.052,20000.0001,25000
Delaware,head of household,0.0555,25000.0001,60000
Delaware,head of household,0.066,60000,
District of Columbia,single,0.04,0,10000
District of Columbia,single,0.06,10000.01,40000
District of Columbia,single,0.065,40000.01,60000
District of Columbia,single,0.085,60000.01,250000
District of Columbia,single,0.0925,250000.01,500000
District of Columbia,single,0.0975,500000.01,1000000
District of Columbia,single,0.1075,1000000.01,
District of Columbia,married filing jointly,0.04,0,10000
District of Columbia,married filing jointly,0.06,10000.01,40000
District of Columbia,married filing jointly,0.065,40000.01,60000
District of Columbia,married filing jointly,0.085,60000.01,250000
District of Columbia,married filing jointly,0.0925,250000.01,500000
District of Columbia,married filing jointly,0.0975,500000.01,1000000
District of Columbia,married filing jointly,0.1075,1000000.01,
District of Columbia,married filing separately,0.04,0,10000
District of Columbia,married filing separately,0.06,10000.01,40000
District of Columbia,married filing separately,0.065,40000.01,60000
District of Columbia,married filing separately,0.085,60000.01,250000
District of Columbia,married filing separately,0.0925,250000.01,500000
District of Columbia,married filing separately,0.0975,500000.01,1000000
District of Columbia,married filing separately,0.1075,1000000.01,
District of Columbia,head of household,0.04,0,10000
District of Columbia,head of household,0.06,10000.01,40000
District of Columbia,head of household,0.065,40000.01,60000
District of Columbia,head of household,0.085,60000.01,250000
District of Columbia,head of household,0.0925,250000.01,500000
District of Columbia,head of household,0.0975,500000.01,1000000
District of Columbia,head of household,0.1075,1000000.01,
Florida,single,0,0,0
Florida,married filing jointly,0,0,0
Florida,married filing separately,0,0,0
Florida,head of household,0,0,0
Georgia,single,0.0549,0,0
Georgia,married filing jointly,0.0549,0,0
Georgia,married filing separately,0.0549,0,0
Georgia,head of household,0.0549,0,0
Hawaii,single,0.014,0,2400
Hawaii,single,0.032,2400.01,4800
Hawaii,single,0.055,4800.01,9600
Hawaii,single,0.064,9600.01,14400
Hawaii,single,0.068,14400.01,19200
Hawaii,single,0.072,19200.01,24000
Hawaii,single,0.076,24000.01,36000
Hawaii,single,0.079,36000.01,48000
Hawaii,single,0.0825,48000.01,150000
Hawaii,single,0.09,150000.01,175000
Hawaii,single,0.1,175000.01,200000
Hawaii,single,0.11,200000.01,
Hawaii,married filing jointly,0.014,0,4800
Hawaii,married filing jointly,0.032,4800.01,9600
Hawaii,married filing jointly,0.055,9600.01,19200
Hawaii,married filing jointly,0.064,19200.01,28800
Hawaii,married filing jointly,0.068,28800.01,38400
Hawaii,married filing jointly,0.072,38400.01,48000
Hawaii,married filing jointly,0.076,48000.01,72000
Hawaii,married filing jointly,0.079,72000.01,96000
Hawaii,married filing jointly,0.0825,96000.01,300000
Hawaii,married filing jointly,0.09,300000.01,350000
Hawaii,married filing jointly,0.1,350000.01,400000
Hawaii,married filing jointly,0.11,400000.01,
Hawaii,married filing separately,0.014,0,2400
Hawaii,married filing separately,0.032,2400.01,4800
Hawaii,married filing separately,0.055,4800.01,9600
Hawaii,married filing separately,0.064,9600.01,14400
Hawaii,married filing separately,0.068,14400.01,19200
Hawaii,married filing separately,0.072,19200.01,24000
Hawaii,married filing separately,0.076,24000.01,36000
Hawaii,married filing separately,0.079,36000.01,48000
Hawaii,married filing separately,0.0825,48000.01,150000
Hawaii,married filing separately,0.09,150000.01,175000
Hawaii,married filing separately,0.1,175000.01,200000
Hawaii,married filing separately,0.11,200000.01,
Hawaii,head of household,0.014,0,3600
Hawaii,head of household,0.032,3600.01,7200
Hawaii,head of household,0.055,7200.01,14400
Hawaii,head of household,0.064,14400.01,21600
Hawaii,head of household,0.068,21600.01,28800
Hawaii,head of household,0.072,28800.01,36000
Hawaii,head of household,0.076,36000.01,54000
Hawaii,head of household,0.079,54000.01,72000
Hawaii,head of household,0.0825,72000.01,225000
Hawaii,head of household,0.09,225000.01,262500
Hawaii,head of household,0.1,262500.01,300000
Hawaii,head of household,0.11,300000.01,
Idaho,single,0.058,0,0
Idaho,married filing jointly,0.058,0,0
Idaho,married filing separately,0.058,0,0
Idaho,head of household,0.058,0,0
Illinois,single,0.0495,0,0
Illinois,married filing jointly,0.0495,0,0
Illinois,married filing separately,0.0495,0,0
Illinois,head of household,0.0495,0,0
Indiana,single,0.035,0,0
Indiana,married filing jointly,0.035,0,0
Indiana,married filing separately,0.035,0,0
Indiana,head of household,0.035,0,0
Iowa,single,0.044,0,6210
Iowa,single,0.0482,6210.01,31050
Iowa,single,0.057,31050.01,
Iowa,married filing jointly,0.044,0,12420
Iowa,married filing jointly,0.0482,12420.01,62100
Iowa,married filing jointly,0.057,62100.01,
Iowa,married filing separately,0.044,0,6210
Iowa,married filing separately,0.0482,6210.01,31050
Iowa,married filing separately,0.057,31050.01,
Iowa,head of household,0.044,0,6210
Iowa,head of household,0.0482,6210.01,31050
Iowa,head of household,0.057,31050.01,
Kansas,married filing jointly,0,0,5000
Kansas,married filing jointly,0.031,5000.01,30000
Kansas,married filing jointly,0.0525,30000.01,60000
Kansas,married filing jointly,0.057,60000.01,
Kansas,single,0,0,2500
Kansas,single,0.031,2500.01,15000
Kansas,single,0.0525,15000.01,30000
Kansas,single,0.057,30000.01,
Kansas,head of household,0,0,2500
Kansas,head of household,0.031,2500.01,15000
Kansas,head of household,0.0525,15000.01,30000
Kansas,head of household,0.057,30000.01,
Kansas,married filing separately,0,0,2500
Kansas,married filing separately,0.031,2500.01,15000
Kansas,married filing separately,0.0525,15000.01,30000
Kansas,married filing separately,0.057,30000.01,
Kentucky,single,0.04,0,0
Kentucky,married filing jointly,0.04,0,0
Kentucky,married filing separately,0.04,0,0
Kentucky,head of household,0.04,0,0
Louisiana,single,0.0185,0,12500
Louisiana,single,0.035,12500.01,50000
Louisiana,single,0.0425,50000.01,
Louisiana,married filing jointly,0.0185,0,25000
Louisiana,married filing jointly,0.035,25000.01,100000
Louisiana,married filing jointly,0.0425,100000.01,
Louisiana,married filing separately,0.0185,0,12500
Louisiana,married filing separately,0.035,12500.01,50000
Louisiana,married filing separately,0.0425,50000.01,
Louisiana,head of household,0.0185,0,12500
Louisiana,head of household,0.035,12500.01,50000
Louisiana,head of household,0.0425,50000.01,
Maine,single,0.058,0,26050
Maine,single,0.0675,26050.01,61600
Maine,single,0.0715,61600.01,
Maine,married filing jointly,0.058,0,52100
Maine,married filing jointly,0.0675,52100.01,123250
Maine,married filing jointly,0.0715,123250.01,
Maine,married filing separately,0.058,0,26050
Maine,married filing separately,0.0675,26050.01,61600
Maine,married filing separately,0.0715,61600.01,
Maine,head of household,0.058,0,39050
Maine,head of household,0.0675,39050.01,92450
Maine,head of household,0.0715,92450.01,
Maryland,single,0,0,1
Maryland,single,0.02,1.01,1000
Maryland,single,0.03,1000.01,2000
Maryland,single,0.04,2000.01,3000
Maryland,single,0.0475,3000.01,100000
Maryland,single,0.05,100000.01,125000
Maryland,single,0.0525,125000.01,150000
Maryland,single,0.055,150000.01,250000
Maryland,single,0.0575,250000.01,
Maryland,married filing jointly,0,0,1
Maryland,married filing jointly,0.02,1.01,1000
Maryland,married filing jointly,0.03,1000.01,2000
Maryland,married filing jointly,0.04,2000.01,3000
Maryland,married filing jointly,0.0475,3000.01,150000
Maryland,married filing jointly,0.05,150000.01,175000
Maryland,married filing jointly,0.0525,175000.01,225000
Maryland,married filing jointly,0.055,225000.01,300000
Maryland,married filing jointly,0.0575,300000.01,
Maryland,married filing separately,0,0,1
Maryland,married filing separately,0.02,1.01,1000
Maryland,married filing separately,0.03,1000.01,2000
Maryland,married filing separately,0.04,2000.01,3000
Maryland,married filing separately,0.0475,3000.01,100000
Maryland,married filing separately,0.05,100000.01,125000
Maryland,married filing separately,0.0525,125000.01,150000
Maryland,married filing separately,0.055,150000.01,250000
Maryland,married filing separately,0.0575,250000.01,
Maryland,head of household,0,0,1
Maryland,head of household,0.02,1.01,1000
Maryland,head of household,0.03,1000.01,2000
Maryland,head of household,0.04,2000.01,3000
Maryland,head of household,0.0475,3000.01,150000
Maryland,head of household,0.05,150000.01,175000
Maryland,head of household,0.0525,175000.01,225000
Maryland,head of household,0.055,225000.01,300000
Maryland,head of household,0.0575,300000.01,
Massachusetts,single,0.05,0,1000000
Massachusetts,single,0.09,1000000.01,
Massachusetts,married filing jointly,0.05,0,1000000
Massachusetts,married filing jointly,0.09,1000000.01,
Massachusetts,married filing separately,0.05,0,1000000
Massachusetts,married filing separately,0.09,1000000.01,
Massachusetts,head of household,0.05,0,1000000
Massachusetts,head of household,0.09,1000000.01,
Michigan,single,0.0425,0,0
Michigan,married filing jointly,0.0425,0,0
Michigan,married filing separately,0.0425,0,0
Michigan,head of household,0.0425,0,0
Minnesota,married filing jointly,0.0535,0,46330
Minnesota,married filing jointly,0.068,46331,184040
Minnesota,married filing jointly,0.0785,184041,321450
Minnesota,married filing jointly,0.0985,321451,
Minnesota,married filing separately,0.0535,0,23165
Minnesota,married filing separately,0.068,23166,92020
Minnesota,married filing separately,0.0785,92021,160725
Minnesota,married filing separately,0.0985,160726,
Minnesota,single,0.0535,0,31690
Minnesota,single,0.068,31691,104090
